NAME	LATITUDE	LONGITUDE 
JB-___20140312_193910.wav	  49.76651 N	  8.63406 E
JB-___20140312_193914.wav	  49.76651 N	  8.63406 E
JB-_N_20140312_193918.wav	  49.76651 N	  8.63406 E
JB-___20140312_193920.wav	  49.76651 N	  8.63406 E
JB-___20140312_193929.wav	  49.76651 N	  8.63406 E
JB-_N_20140312_193941.wav	  49.76651 N	  8.63404 E
JB-___20140312_193943.wav	  49.76651 N	  8.63404 E
JB-___20140312_193959.wav	  49.76651 N	  8.63406 E
JB-___20140312_194004.wav	  49.76651 N	  8.63406 E
JB-___20140312_194016.wav	  49.76651 N	  8.63406 E
JB-___20140312_194040.wav	  49.76651 N	  8.63406 E
JB-_N_20140312_194054.wav	  49.76651 N	  8.63406 E
JB-___20140312_194101.wav	  49.76651 N	  8.63406 E
JB-___20140312_194110.wav	  49.76651 N	  8.63406 E
JB-___20140312_194120.wav	  49.76651 N	  8.63406 E
JB-___20140312_194136.wav	  49.76651 N	  8.63406 E
JB-___20140312_194140.wav	  49.76651 N	  8.63406 E
JB-___20140312_194142.wav	  49.76651 N	  8.63406 E
JB-___20140312_194309.wav	  49.76651 N	  8.63406 E
JB-___20140312_194313.wav	  49.76651 N	  8.63406 E
JB-___20140312_194317.wav	  49.76651 N	  8.63406 E
JB-___20140312_194332.wav	  49.76650 N	  8.63404 E
JB-___20140312_194340.wav	  49.76649 N	  8.63401 E
JB-___20140312_194346.wav	  49.76649 N	  8.63399 E
JB-___20140312_194348.wav	  49.76649 N	  8.63399 E
JB-___20140312_194357.wav	  49.76645 N	  8.63399 E
JB-___20140312_194409.wav	  49.76645 N	  8.63399 E
JB-___20140312_194417.wav	  49.76645 N	  8.63399 E
JB-___20140312_194428.wav	  49.76645 N	  8.63399 E
JB-_N_20140312_194434.wav	  49.76645 N	  8.63399 E
JB-___20140312_194442.wav	  49.76645 N	  8.63399 E
JB-___20140312_194452.wav	  49.76645 N	  8.63399 E
JB-___20140312_194503.wav	  49.76645 N	  8.63399 E
JB-___20140312_194511.wav	  49.76645 N	  8.63399 E
JB-___20140312_194541.wav	  49.76645 N	  8.63399 E
JB-___20140312_194547.wav	  49.76645 N	  8.63399 E
JB-___20140312_194616.wav	  49.76645 N	  8.63399 E
JB-___20140312_194632.wav	  49.76645 N	  8.63399 E
JB-___20140312_194640.wav	  49.76645 N	  8.63399 E
JB-___20140312_194646.wav	  49.76645 N	  8.63399 E
JB-_N_20140312_194652.wav	  49.76645 N	  8.63399 E
JB-___20140312_194658.wav	  49.76645 N	  8.63399 E
JB-___20140312_194704.wav	  49.76645 N	  8.63399 E
JB-_N_20140312_194713.wav	  49.76645 N	  8.63399 E
JB-___20140312_194715.wav	  49.76645 N	  8.63399 E
JB-___20140312_194724.wav	  49.76645 N	  8.63399 E
JB-___20140312_194738.wav	  49.76645 N	  8.63399 E
JB-_N_20140312_194755.wav	  49.76645 N	  8.63399 E
JB-___20140312_194757.wav	  49.76645 N	  8.63399 E
JB-___20140312_194802.wav	  49.76645 N	  8.63399 E
JB-___20140312_194808.wav	  49.76645 N	  8.63399 E
JB-_N_20140312_194814.wav	  49.76645 N	  8.63399 E
JB-___20140312_194914.wav	  49.76645 N	  8.63399 E
JB-___20140312_194925.wav	  49.76645 N	  8.63399 E
JB-___20140312_194936.wav	  49.76645 N	  8.63399 E
JB-_N_20140312_195023.wav	  49.76645 N	  8.63399 E
JB-_N_20140312_195028.wav	  49.76645 N	  8.63399 E
JB-___20140312_195050.wav	  49.76645 N	  8.63399 E
JB-_N_20140426_210246.wav	  49.76712 N	  8.64877 E
JB-_N_20140426_210334.wav	  49.76712 N	  8.64877 E
JB-___20140426_210433.wav	  49.76709 N	  8.64879 E
JB-___20140426_210838.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_210842.wav	  49.76709 N	  8.64881 E
JB-___20140426_211046.wav	  49.76709 N	  8.64881 E
JB-___20140426_211613.wav	  49.76709 N	  8.64881 E
JB-___20140426_211632.wav	  49.76709 N	  8.64881 E
JB-___20140426_211640.wav	  49.76709 N	  8.64881 E
JB-___20140426_211648.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_211654.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_211659.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_211703.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_211706.wav	  49.76709 N	  8.64881 E
JB-___20140426_211708.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_211713.wav	  49.76709 N	  8.64881 E
JB-___20140426_211716.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_211725.wav	  49.76709 N	  8.64881 E
JB-___20140426_211743.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_211801.wav	  49.76709 N	  8.64881 E
JB-___20140426_211807.wav	  49.76709 N	  8.64881 E
JB-___20140426_211912.wav	  49.76709 N	  8.64881 E
JB-_N_20140426_212149.wav	  49.76709 N	  8.64879 E
JB-_N_20140426_212153.wav	  49.76709 N	  8.64879 E
JB-_N_20140426_212157.wav	  49.76709 N	  8.64879 E
JB-___20140426_212419.wav	  49.76707 N	  8.64877 E
JB-_N_20140426_212451.wav	  49.76707 N	  8.64877 E
JB-___20140426_212958.wav	  49.76706 N	  8.64876 E
JB-_N_20140426_213228.wav	  49.76705 N	  8.64876 E
JB-___20140426_213320.wav	  49.76706 N	  8.64876 E
JB-_N_20140426_213422.wav	  49.76710 N	  8.64874 E
JB-_N_20140426_213739.wav	  49.76715 N	  8.64874 E
JB-_N_20140426_215806.wav	  49.76705 N	  8.64872 E
JB-___20140426_215807.wav	  49.76704 N	  8.64872 E
JB-___20140426_220721.wav	  49.76591 N	  8.64717 E
JB-_N_20140429_211616.wav	7682.64607 S	20609.88734 E
JB-_N_20140429_211527.wav	  49.76655 N	  8.63382 E
JB-___20140429_211534.wav	  49.76654 N	  8.63382 E
JB-_N_20140429_211540.wav	  49.76654 N	  8.63382 E
JB-___20140429_211544.wav	  49.76651 N	  8.63384 E
JB-___20140429_211554.wav	  49.76649 N	  8.63386 E
JB-___20140429_211607.wav	  49.76649 N	  8.63386 E
